'seconds', 'completed_qty', 'remaining_qty', 'mb_processed'
0, 0, 20, 0.0
5, 4, 16, 4.056
10, 6, 14, 5.0
15, 9, 11, 6.205
20, 10, 10, 6.743
25, 11, 9, 8.407
30, 11, 9, 8.407
35, 11, 9, 8.407
40, 11, 9, 8.407
45, 12, 8, 12.205
50, 13, 7, 13.831
55, 13, 7, 13.831
60, 13, 7, 13.831
65, 14, 6, 15.886
70, 14, 6, 15.886
75, 15, 5, 18.339
80, 15, 5, 18.339
85, 16, 4, 21.151
90, 16, 4, 21.151
95, 16, 4, 21.151
100, 17, 3, 23.992
105, 17, 3, 23.992
110, 17, 3, 23.992
115, 17, 3, 23.992
120, 17, 3, 23.992
125, 17, 3, 23.992
130, 18, 2, 27.684
135, 18, 2, 27.684
140, 18, 2, 27.684
145, 18, 2, 27.684
150, 18, 2, 27.684
155, 18, 2, 27.684
160, 18, 2, 27.684
165, 19, 1, 31.371
170, 19, 1, 31.371
175, 19, 1, 31.371
180, 19, 1, 31.371
185, 19, 1, 31.371
190, 19, 1, 31.371
195, 19, 1, 31.371
200, 19, 1, 31.371
205, 19, 1, 31.371
210, 19, 1, 31.371
215, 19, 1, 31.371
220, 19, 1, 31.371
225, 19, 1, 31.371
230, 19, 1, 31.371
235, 19, 1, 31.371
240, 19, 1, 31.371
245, 19, 1, 31.371
250, 19, 1, 31.371
255, 19, 1, 31.371
260, 19, 1, 31.371
265, 19, 1, 31.371
270, 19, 1, 31.371
275, 19, 1, 31.371
280, 19, 1, 31.371
285, 19, 1, 31.371
290, 19, 1, 31.371
295, 19, 1, 31.371
300, 19, 1, 31.371
305, 19, 1, 31.371
310, 19, 1, 31.371
315, 19, 1, 31.371
320, 19, 1, 31.371
325, 19, 1, 31.371
330, 19, 1, 31.371
335, 19, 1, 31.371
340, 19, 1, 31.371
345, 19, 1, 31.371
350, 19, 1, 31.371
355, 19, 1, 31.371
360, 19, 1, 31.371
365, 19, 1, 31.371
370, 19, 1, 31.371
375, 19, 1, 31.371
380, 19, 1, 31.371
385, 19, 1, 31.371
390, 19, 1, 31.371
395, 19, 1, 31.371
400, 19, 1, 31.371
405, 19, 1, 31.371
410, 19, 1, 31.371
415, 19, 1, 31.371
420, 19, 1, 31.371
425, 19, 1, 31.371
430, 19, 1, 31.371
435, 19, 1, 31.371
440, 19, 1, 31.371
445, 19, 1, 31.371
450, 19, 1, 31.371
455, 19, 1, 31.371
460, 19, 1, 31.371
465, 19, 1, 31.371
470, 19, 1, 31.371
475, 19, 1, 31.371
480, 19, 1, 31.371
485, 19, 1, 31.371
490, 19, 1, 31.371
495, 19, 1, 31.371
500, 19, 1, 31.371
505, 19, 1, 31.371
511, 20, 0, 64.79
